date,weather_meantemp,weather_humidity,wind_speed,weather_meanpressure
2013-01-01,10,84.5,0,1015.66666666667
2013-01-02,7.4,92,2.98,1017.8
2013-01-03,7.16666666666667,87,4.63333333333333,1018.66666666667
2013-01-04,8.66666666666667,71.3333333333333,1.23333333333333,1017.16666666667
2013-01-05,6,86.8333333333333,3.7,1016.5
2013-01-06,7,82.8,1.48,1018
2013-01-07,7,78.6,6.3,1020
2013-01-08,8.85714285714286,63.7142857142857,7.14285714285714,1018.71428571429
2013-01-09,14,51.25,12.5,1017
2013-01-10,11,62,7.4,1015.66666666667
2013-01-11,15.7142857142857,51.2857142857143,10.5714285714286,1016.14285714286
2013-01-12,14,74,13.2285714285714,1015.57142857143
2013-01-13,15.8333333333333,75.1666666666667,4.63333333333333,1013.33333333333
2013-01-14,12.8333333333333,88.1666666666667,0.616666666666667,1015.16666666667
2013-01-15,14.7142857142857,71.8571428571429,0.528571428571429,1015.85714285714
2013-01-16,13.8333333333333,86.6666666666667,0,1016.66666666667
2013-01-17,16.5,80.8333333333333,5.25,1015.83333333333
2013-01-18,13.8333333333333,92.1666666666667,8.95,1014.5
2013-01-19,12.5,76.6666666666667,5.88333333333333,1021.66666666667
2013-01-20,11.2857142857143,75.2857142857143,8.47142857142857,1020.28571428571
2013-01-21,11.2,77,2.22,1021
2013-01-22,9.5,79.6666666666667,3.08333333333333,1021.8
2013-01-23,14,60.1666666666667,4.01666666666667,1020.5
2013-01-24,13.8333333333333,60.6666666666667,6.16666666666667,1020.5
2013-01-25,12.25,67,5.55,1020.75
2013-01-26,12.6666666666667,64.1666666666667,6.8,1019.66666666667
2013-01-27,12.8571428571429,65.5714285714286,5.55714285714286,1018.14285714286
2013-01-28,14.8333333333333,56,3.7,1017.83333333333
2013-01-29,14.125,65.5,3.2375,1016.625
2013-01-30,14.7142857142857,70.4285714285714,1.05714285714286,1017.85714285714
2013-01-31,16.2,65.6,2.96,1018.4
2013-02-01,16,73,2.22,1016
2013-02-02,16.2857142857143,77.5714285714286,1.32857142857143,1017.14285714286
2013-02-03,18,65.5714285714286,1.85714285714286,1015.28571428571
2013-02-04,17.4285714285714,74.2857142857143,11.1142857142857,1014.57142857143
2013-02-05,16.625,92.375,9.725,1016.375
2013-02-06,16.6666666666667,71.3333333333333,8.63333333333333,1018.66666666667
2013-02-07,15.6,59.4,10.74,1018.6
2013-02-08,14,70.4285714285714,9.25714285714286,1017.14285714286
2013-02-09,15.4285714285714,61.2857142857143,9.25714285714286,1016.85714285714
